Year,Player,Pos,Age,Tm,ORtg,DRtg
1980,Purvis Short,SF,22,GSW,106,107
1980,John Shumate,PF,27,TOT,114,107
1980,John Shumate,PF,27,DET,109,106
1980,John Shumate,PF,27,HOU,107,107
1980,John Shumate,PF,27,SAS,118,107
1980,Jack Sikma*,C,24,SEA,107,98
1980,James Silas,PG,30,SAS,114,113
1980,Paul Silas,PF,36,SEA,99,104
1980,Ralph Simpson,SG,30,NJN,81,100
1980,Al Skinner,SG,27,PHI,65,111
1980,Bingo Smith,SF-SG,33,TOT,103,112
1980,Bingo Smith,SG,33,CLE,97,109
1980,Bingo Smith,SF,33,SDC,104,112
1980,Phil Smith,SG,27,GSW,102,108
1980,Randy Smith,SG,31,CLE,103,108
1980,Robert Smith,PG,24,TOT,105,107
1980,Robert Smith,PG,24,UTA,111,113
1980,Robert Smith,PG,24,NJN,104,106
1980,Sam Smith,SF,25,CHI,103,107
1980,Willie Smith,PG,26,CLE,97,106
1980,Ricky Sobers,PG,27,CHI,98,108
1980,Jim Spanarkel,SG,22,PHI,97,105
1980,Larry Steele,SF,30,POR,97,105
1980,Earl Tatum,SG,26,CLE,87,105
1980,Brian Taylor,PG,28,SDC,114,111
1980,Reggie Theus,SG,22,CHI,108,109
1980,David Thompson*,SG,25,DEN,108,109
1980,Rudy Tomjanovich*,PF,31,HOU,110,110
1980,Bernard Toone,PF,23,PHI,82,100
1980,Raymond Townsend,SG,24,GSW,93,108
1980,Dave Twardzik,PG,29,POR,109,106
1980,Terry Tyler,SF,23,DET,100,106
1980,Wes Unseld*,C,33,WSB,114,103
1980,Jan van Breda Kolff,SF,28,NJN,100,102
1980,Andre Wakefield,SG,25,UTA,67,113
1980,Foots Walker,PG,28,CLE,113,106
1980,Wally Walker,SF,25,SEA,108,103
1980,Bill Walton*,C,27,SDC,101,101
1980,Lloyd Walton,PG,26,MIL,98,107
1980,Kermit Washington,PF,28,POR,115,102
1980,Richard Washington,PF,24,MIL,101,102
1980,Nick Weatherspoon,SF,29,SDC,93,110
1980,Marvin Webster,C,27,NYK,99,108
1980,Scott Wedman,SF,27,KCK,109,102
1980,Paul Westphal*,SG,29,PHO,116,105
1980,Jo Jo White*,PG,33,GSW,97,108
1980,Rudy White,SG,26,HOU,103,109
1980,Jerome Whitehead,C,23,TOT,94,108
1980,Jerome Whitehead,C,23,SDC,115,110
1980,Jerome Whitehead,C,23,UTA,81,107
1980,Sidney Wicks,PF,30,SDC,90,109
1980,Bob Wilkerson,SF,25,DEN,93,109
1980,Jamaal Wilkes*,SF,26,LAL,115,105
1980,Duck Williams,PG,23,UTA,91,111
1980,Freeman Williams,SG,23,SDC,107,113
1980,Gus Williams,PG,26,SEA,113,102
1980,Ray Williams,PG,25,NYK,111,107
1980,Sly Williams,SF,22,NYK,92,109
1980,John Williamson,SG,28,TOT,99,108
1980,John Williamson,SG,28,NJN,105,107
1980,John Williamson,SG,28,WSB,91,110
1980,Bill Willoughby,SF,22,CLE,109,106
1980,Bubba Wilson,SG,24,GSW,72,111
1980,Rick Wilson,SG,23,ATL,59,104
1980,Brian Winters,SG,27,MIL,108,106
1980,Larry Wright,PG,25,WSB,102,107
1980,Tony Zeno,SF,22,IND,55,100
1981,Kareem Abdul-Jabbar*,C,33,LAL,118,101
1981,Tom Abernethy,SF,26,TOT,107,109
1981,Tom Abernethy,SF,26,GSW,80,109
1981,Tom Abernethy,SF,26,IND,109,108
1981,Alvan Adams,C,26,PHO,108,96
1981,Darrell Allums,PF,22,DAL,79,109
1981,Tiny Archibald*,PG,32,BOS,111,107
1981,Dennis Awtrey,C,32,SEA,98,106
1981,James Bailey,PF,23,SEA,101,102
1981,Greg Ballard,SF,26,WSB,105,101
1981,Mike Bantom,SF,29,IND,103,105
1981,Billy Ray Bates,SG,24,POR,106,107
1981,Mel Bennett,PF,26,UTA,99,108
1981,Kent Benson,C,26,DET,99,104
1981,Henry Bibby,PG,31,SDC,101,110
1981,Larry Bird*,PF,24,BOS,107,99
1981,Otis Birdsong,SG,25,KCK,113,108
1981,Norman Black,SG,23,DET,68,107
1981,Ron Boone,SG,34,UTA,91,112
1981,Winford Boynes,SG,23,DAL,80,112
1981,Dudley Bradley,SG,23,IND,103,101
1981,Mike Bratz,PG,25,CLE,100,110
1981,Jim Brewer,PF,29,LAL,107,103
1981,Ron Brewer,SG,25,TOT,99,108
1981,Ron Brewer,SG,25,POR,88,107
1981,Ron Brewer,SG,25,SAS,106,109
1981,Junior Bridgeman,SF,27,MIL,110,104
1981,Allan Bristow,SF,29,UTA,103,109
1981,Dave Britton,PG,22,WSB,93,93
1981,Michael Brooks,SF,22,SDC,107,108
1981,Fred Brown,SG,32,SEA,109,107
1981,Lewis Brown,C,25,WSB,46,103
1981,Rickey Brown,C,22,GSW,107,108
1981,Joe Bryant,PF,26,SDC,103,108
1981,Quinn Buckner,PG,26,MIL,102,100
1981,Tom Burleson,C,28,ATL,92,106
1981,Don Buse,SG,30,IND,107,105
1981,Marty Byrnes,SF,24,DAL,111,113
1981,Mack Calvin,PG,33,CLE,93,110
1981,Austin Carr,SG,32,TOT,85,108
1981,Austin Carr,SG,32,DAL,60,114
1981,Austin Carr,SG,32,WSB,89,107
