Year,Team,Player,Pos,Ht_in,Wt,Birth_Date,Birth,Exp,College
1989,NYK,Mark Jackson,PG,73.00,180,1-Apr-65,us US,1,St. John's
1990,NYK,Mark Jackson,PG,73.00,180,1-Apr-65,us US,2,St. John's
1990,NYK,Maurice Cheeks,PG,73.00,180,8-Sep-56,us US,11,West Texas A&M University
2002,NYK,Mark Jackson,PG,73.00,180,1-Apr-65,us US,14,St. John's
2005,NYK,Moochie Norris,PG,73.00,175,27-Jul-73,us US,7,"Auburn, University of West Florida"
2009,NYK,Chris Duhon,PG,73.00,185,31-Aug-82,us US,4,Duke
2012,NYK,Mike Bibby,PG,73.00,190,13-May-78,us US,13,Arizona
2015,NYK,Langston Galloway,PG,73.00,200,9-Dec-91,us US,R,Saint Joseph's
2016,NYK,Langston Galloway,PG,73.00,200,9-Dec-91,us US,1,Saint Joseph's
2019,NYK,Kadeem Allen,PG,73.00,200,15-Jan-93,us US,1,Arizona
2024,NYK,Malachi Flynn,PG,73.00,175,10-May-98,us US,3,"Washington State, San Diego State"
2009,OKC,Earl Watson,PG,73.00,195,12-Jun-79,us US,7,UCLA
2013,OKC,Derek Fisher,SG,73.00,200,9-Aug-74,us US,16,Little Rock
2019,OKC,Dennis Schroder,PG,73.00,172,15-Sep-93,de DE,5,
2019,OKC,Raymond Felton,PG,73.00,205,26-Jun-84,us US,13,UNC
2020,OKC,Dennis Schroder,PG,73.00,172,15-Sep-93,de DE,6,
1990,ORL,Scott Skiles,PG,73.00,180,5-Mar-64,us US,3,Michigan State
1993,ORL,Litterial Green,PG,73.00,185,7-Mar-70,us US,R,Georgia
1993,ORL,Scott Skiles,PG,73.00,180,5-Mar-64,us US,6,Michigan State
1994,ORL,Litterial Green,PG,73.00,185,7-Mar-70,us US,1,Georgia
1994,ORL,Scott Skiles,PG,73.00,180,5-Mar-64,us US,7,Michigan State
2003,ORL,Jacque Vaughn,PG,73.00,190,11-Feb-75,us US,5,Kansas
2006,ORL,Travis Diener,PG,73.00,175,1-Mar-82,us US,R,Marquette
2010,ORL,Jason Williams,PG,73.00,190,18-Nov-75,us US,10,"Marshall, Florida"
2012,ORL,Chris Duhon,PG,73.00,185,31-Aug-82,us US,7,Duke
2016,ORL,Brandon Jennings,PG,73.00,170,23-Sep-89,us US,6,
2016,ORL,Keith Appling,PG,73.00,185,13-Feb-92,us US,R,Michigan State
1980,PHI,Henry Bibby,PG,73.00,185,24-Nov-49,us US,7,UCLA
1980,PHI,Maurice Cheeks,PG,73.00,180,8-Sep-56,us US,1,West Texas A&M University
1983,PHI,Franklin Edwards,PG,73.00,170,2-Feb-59,us US,1,Cleveland State University
1983,PHI,Maurice Cheeks,PG,73.00,180,8-Sep-56,us US,4,West Texas A&M University
1986,PHI,Maurice Cheeks,PG,73.00,180,8-Sep-56,us US,7,West Texas A&M University
1987,PHI,Maurice Cheeks,PG,73.00,180,8-Sep-56,us US,8,West Texas A&M University
1989,PHI,Maurice Cheeks,PG,73.00,180,8-Sep-56,us US,10,West Texas A&M University
1996,PHI,Scott Skiles,PG,73.00,180,5-Mar-64,us US,9,Michigan State
1996,PHI,Trevor Ruffin,PG,73.00,185,26-Sep-70,us US,1,Hawaii
2018,PHI,Demetrius Jackson,PG,73.00,201,7-Sep-94,us US,1,Notre Dame
2018,PHI,Jacob Pullen,PG,73.00,200,10-Nov-89,us US,R,Kansas State
2018,PHI,T.J. McConnell,PG,73.00,190,25-Mar-92,us US,2,"Duquesne, Arizona"
2021,PHI,Seth Curry,SG,73.00,185,23-Aug-90,us US,6,"Liberty, Duke"
2022,PHI,Seth Curry,SG,73.00,185,23-Aug-90,us US,7,"Liberty, Duke"
1985,PHO,Rod Foster,PG,73.00,160,10-Oct-60,us US,1,UCLA
1986,PHO,Rod Foster,PG,73.00,160,10-Oct-60,us US,2,UCLA
1988,PHO,Kevin Johnson,PG,73.00,180,4-Mar-66,us US,R,California
1989,PHO,Kevin Johnson,PG,73.00,180,4-Mar-66,us US,1,California
1992,PHO,Kevin Johnson,PG,73.00,180,4-Mar-66,us US,4,California
1992,PHO,Negele Knight,PG,73.00,175,6-Mar-67,us US,1,Dayton
1995,PHO,Kevin Johnson,PG,73.00,180,4-Mar-66,us US,7,California
1995,PHO,Trevor Ruffin,PG,73.00,185,26-Sep-70,us US,R,Hawaii
1998,PHO,Kevin Johnson,PG,73.00,180,4-Mar-66,us US,10,California
1999,PHO,Shawn Respert,SG,73.00,195,6-Feb-72,us US,3,Michigan State
2001,PHO,Tony Delk,SG,73.00,189,28-Jan-74,us US,4,Kentucky
2002,PHO,Tony Delk,SG,73.00,189,28-Jan-74,us US,5,Kentucky
2014,PHO,Eric Bledsoe,PG,73.00,214,9-Dec-89,us US,3,Kentucky
2015,PHO,Eric Bledsoe,PG,73.00,214,9-Dec-89,us US,4,Kentucky
2015,PHO,Seth Curry,PG,73.00,185,23-Aug-90,us US,1,"Liberty, Duke"
2017,PHO,Eric Bledsoe,PG,73.00,214,9-Dec-89,us US,6,Kentucky
2018,PHO,Eric Bledsoe,PG,73.00,214,9-Dec-89,us US,7,Kentucky
2018,PHO,Mike James,PG,73.00,189,18-Aug-90,us US,R,Lamar
2020,PHO,Jevon Carter,PG,73.00,200,14-Sep-95,us US,1,West Virginia
2021,PHO,Jevon Carter,PG,73.00,200,14-Sep-95,us US,2,West Virginia
2021,PHO,Langston Galloway,SG,73.00,200,9-Dec-91,us US,6,Saint Joseph's
1980,POR,Dave Twardzik,PG,73.00,175,20-Sep-50,us US,7,Old Dominion
1983,POR,Darnell Valentine,PG,73.00,183,3-Feb-59,us US,1,Kansas
1986,POR,Darnell Valentine,PG,73.00,183,3-Feb-59,us US,4,Kansas
1989,POR,Clinton Wheeler,PG,73.00,185,27-Oct-59,us US,1,William Paterson University
1989,POR,Jerry Sichting,PG,73.00,168,29-Nov-56,us US,8,Purdue
1995,POR,Negele Knight,PG,73.00,175,6-Mar-67,us US,4,Dayton
1999,POR,John Crotty,PG,73.00,185,15-Jul-69,us US,6,Virginia
2002,POR,Erick Barkley,PG,73.00,177,21-Feb-78,us US,1,St. John's
2005,POR,Maurice Baker,PG,73.00,175,28-Jul-79,us US,R,Oklahoma State
2005,POR,Nick Van Exel,SG,73.00,170,27-Nov-71,us US,11,"Trinity Valley CC, Cincinnati"
2012,POR,Raymond Felton,PG,73.00,205,26-Jun-84,us US,6,UNC
1986,SAC,Larry Drew,PG,73.00,170,2-Apr-58,us US,5,Missouri
1987,SAC,Franklin Edwards,PG,73.00,170,2-Feb-59,us US,5,Cleveland State University
1997,SAC,Mahmoud Abdul-Rauf,PG,73.00,162,9-Mar-69,us US,6,LSU
1999,SAC,Jason Williams,PG,73.00,190,18-Nov-75,us US,R,"Marshall, Florida"
2000,SAC,Jason Williams,PG,73.00,190,18-Nov-75,us US,1,"Marshall, Florida"
2000,SAC,Tony Delk,PG,73.00,189,28-Jan-74,us US,3,Kentucky
2002,SAC,Bobby Jackson,PG,73.00,185,13-Mar-73,us US,4,Minnesota
2002,SAC,Brent Price,PG,73.00,165,9-Dec-68,us US,8,"South Carolina, Oklahoma"
2002,SAC,Mike Bibby,PG,73.00,190,13-May-78,us US,3,Arizona
2003,SAC,Bobby Jackson,PG,73.00,185,13-Mar-73,us US,5,Minnesota
2003,SAC,Mike Bibby,PG,73.00,190,13-May-78,us US,4,Arizona
2006,SAC,Mike Bibby,PG,73.00,190,13-May-78,us US,7,Arizona
2009,SAC,Bobby Jackson,PG,73.00,185,13-Mar-73,us US,11,Minnesota
2009,SAC,Will Solomon,PG,73.00,185,20-Jul-78,us US,1,Clemson
2016,SAC,Rajon Rondo,PG,73.00,180,22-Feb-86,us US,9,Kentucky
2016,SAC,Seth Curry,PG,73.00,185,23-Aug-90,us US,2,"Liberty, Duke"
2022,SAC,Justin Robinson,PG,73.00,195,12-Oct-97,us US,2,Virginia Tech
1980,SAS,James Silas,PG,73.00,180,11-Feb-49,us US,7,Stephen F. Austin
1980,SAS,Mike Evans,SG,73.00,170,19-Apr-55,us US,R,Kansas State
1983,SAS,Johnny Moore,PG,73.00,175,3-Mar-58,us US,2,Texas
1986,SAS,Johnny Moore,PG,73.00,175,3-Mar-58,us US,5,Texas
1986,SAS,Wes Matthews,PG,73.00,170,24-Aug-59,us US,5,Wisconsin
1989,SAS,Keith Smart,PG,73.00,175,21-Sep-64,us US,R,Indiana
1990,SAS,Johnny Moore,PG,73.00,175,3-Mar-58,us US,8,Texas
1990,SAS,Maurice Cheeks,PG,73.00,180,8-Sep-56,us US,11,West Texas A&M University
1996,SAS,Cory Alexander,PG,73.00,185,22-Jun-73,us US,R,Virginia
1998,SAS,Cory Alexander,PG,73.00,185,22-Jun-73,us US,2,Virginia
2008,SAS,Jacque Vaughn,PG,73.00,190,11-Feb-75,us US,10,Kansas
2009,SAS,Jacque Vaughn,PG,73.00,190,11-Feb-75,us US,11,Kansas
2021,SAS,Tre Jones,PG,73.00,185,8-Jan-00,us US,R,Duke
2024,SAS,Devonte' Graham,PG,73.00,195,22-Feb-95,us US,5,Kansas
2024,SAS,Tre Jones,PG,73.00,185,8-Jan-00,us US,3,Duke
1983,SDC,Lowes Moore,PG,73.00,170,5-May-57,us US,2,West Virginia
1999,SEA,John Crotty,PG,73.00,185,15-Jul-69,us US,6,Virginia
1999,SEA,Moochie Norris,PG,73.00,175,27-Jul-73,us US,1,"Auburn, University of West Florida"
2001,SEA,Shammond Williams,PG,73.00,201,5-Apr-75,us US,2,UNC
2002,SEA,Earl Watson,PG,73.00,195,12-Jun-79,us US,R,UCLA
2002,SEA,Shammond Williams,SG,73.00,201,5-Apr-75,us US,3,UNC
2008,SEA,Earl Watson,PG,73.00,195,12-Jun-79,us US,6,UCLA
1997,TOR,Shawn Respert,SG,73.00,195,6-Feb-72,us US,1,Michigan State
2000,TOR,Dee Brown,PG,73.00,160,29-Nov-68,us US,9,Jacksonville University
2009,TOR,Will Solomon,PG,73.00,185,20-Jul-78,us US,1,Clemson
2012,TOR,Anthony Carter,PG,73.00,190,16-Jun-75,us US,12,Hawaii
2022,TOR,Malachi Flynn,PG,73.00,175,10-May-98,us US,1,"Washington State, San Diego State"
1983,UTA,Rickey Williams,SG,73.00,175,12-Mar-57,us US,R,"New Mexico, Cal State Long Beach"
1986,UTA,John Stockton,PG,73.00,170,26-Mar-62,us US,1,Gonzaga
1987,UTA,John Stockton,PG,73.00,170,26-Mar-62,us US,2,Gonzaga
1989,UTA,John Stockton,PG,73.00,170,26-Mar-62,us US,4,Gonzaga
1990,UTA,John Stockton,PG,73.00,170,26-Mar-62,us US,5,Gonzaga
1992,UTA,Eric Murdock,PG,73.00,190,14-Jun-68,us US,R,Providence
1992,UTA,John Stockton,PG,73.00,170,26-Mar-62,us US,7,Gonzaga
1993,UTA,John Crotty,PG,73.00,185,15-Jul-69,us US,R,Virginia
1993,UTA,John Stockton,PG,73.00,170,26-Mar-62,us US,8,Gonzaga
1996,UTA,John Stockton,PG,73.00,170,26-Mar-62,us US,11,Gonzaga
1999,UTA,Jacque Vaughn,PG,73.00,190,11-Feb-75,us US,1,Kansas
1999,UTA,John Stockton,PG,73.00,170,26-Mar-62,us US,14,Gonzaga
2002,UTA,John Crotty,PG,73.00,185,15-Jul-69,us US,9,Virginia
2002,UTA,John Stockton,PG,73.00,170,26-Mar-62,us US,17,Gonzaga
2003,UTA,John Stockton,PG,73.00,170,26-Mar-62,us US,18,Gonzaga
2003,UTA,Mark Jackson,PG,73.00,180,1-Apr-65,us US,15,St. John's
2005,UTA,RaAAAAAAAA 1/4l LAAAAAAAA3pez,PG,73.00,170,15-Apr-80,es ES,1,
2012,UTA,Earl Watson,PG,73.00,195,12-Jun-79,us US,10,UCLA
2015,UTA,Bryce Cotton,PG,73.00,165,11-Aug-92,us US,R,Providence
2018,UTA,Raul Neto,PG,73.00,180,19-May-92,br BR,2,
2019,UTA,Raul Neto,PG,73.00,180,19-May-92,br BR,3,
2024,UTA,Kira Lewis Jr.,PG,73.00,170,6-Apr-01,us US,3,Alabama
1996,VAN,Eric Murdock,PG,73.00,190,14-Jun-68,us US,4,Providence
1997,VAN,Lee Mayberry,PG,73.00,172,12-Jun-70,us US,4,Arkansas
1997,VAN,Moochie Norris,PG,73.00,175,27-Jul-73,us US,R,"Auburn, University of West Florida"
1999,VAN,Lee Mayberry,PG,73.00,172,12-Jun-70,us US,6,Arkansas
1999,VAN,Mike Bibby,PG,73.00,190,13-May-78,us US,R,Arizona
2000,VAN,Brent Price,PG,73.00,165,9-Dec-68,us US,6,"South Carolina, Oklahoma"
2000,VAN,Mike Bibby,PG,73.00,190,13-May-78,us US,1,Arizona
2003,WAS,Anthony Goldwire,PG,73.00,182,6-Sep-71,us US,4,Houston
2011,WAS,Mike Bibby,PG,73.00,190,May 13 1978,us US,12,Arizona
2013,WAS,Jannero Pargo,PG,73.00,175,22-Oct-79,us US,8,Arkansas
2017,WAS,Brandon Jennings,PG,73.00,170,September 23 1989,us US,7,
2020,WAS,Justin Robinson,PG,73.00,195,October 12 1997,us US,R,Virginia Tech
2021,WAS,Raul Neto,PG,73.00,180,May 19 1992,br BR,5,
2021,WAS,Cassius Winston,PG,73.00,185,February 28 1998,us US,R,Michigan State
2022,WAS,Cassius Winston,PG,73.00,185,28-Feb-98,us US,1,Michigan State
2022,WAS,Raul Neto,PG,73.00,180,19-May-92,br BR,6,
2024,WAS,Tyus Jones,PG,73.00,196,May 10 1996,us US,8,Duke
1980,WSB,Larry Wright,PG,73.00,160,23-Nov-54,us US,3,Grambling State University
1981,WSB,Wes Matthews,PG,73.00,170,August 24 1959,us US,R,Wisconsin
1982,WSB,Frank Johnson,PG,73.00,185,23-Nov-58,us US,R,Wake Forest
1983,WSB,Frank Johnson,PG,73.00,185,23-Nov-58,us US,1,Wake Forest
1984,WSB,Frank Johnson,PG,73.00,185,November 23 1958,us US,2,Wake Forest
1985,WSB,Frank Johnson,PG,73.00,185,23-Nov-58,us US,3,Wake Forest
1986,WSB,Frank Johnson,PG,73.00,185,23-Nov-58,us US,4,Wake Forest
1987,WSB,Frank Johnson,PG,73.00,185,November 23 1958,us US,5,Wake Forest
1988,WSB,Frank Johnson,PG,73.00,185,November 23 1958,us US,6,Wake Forest
1993,WSB,Brent Price,PG,73.00,165,December 9 1968,us US,R,South Carolina Oklahoma
1994,WSB,Brent Price,PG,73.00,165,December 9 1968,us US,1,South Carolina Oklahoma
1995,WSB,Scott Skiles,PG,73.00,180,5-Mar-64,us US,8,Michigan State
1996,WSB,Brent Price,PG,73.00,165,9-Dec-68,us US,2,"South Carolina, Oklahoma"
1994,SEA,Alphonso Ford,PG,73.00,190,October 31 1971,us US,R,Mississippi Valley State University
2000,SEA,Shammond Williams,PG,73.00,201,April 5 1975,us US,1,UNC
2003,SEA,Kenny Anderson,PG,73.00,168,October 9 1970,us US,11,Georgia Tech
2006,SEA,Earl Watson,PG,73.00,195,June 12 1979,us US,4,UCLA
2007,SEA,Earl Watson,PG,73.00,195,June 12 1979,us US,5,UCLA
1998,TOR,Dee Brown,SG,73.00,160,November 29 1968,us US,7,Jacksonville University
1998,TOR,Shawn Respert,SG,73.00,195,February 6 1972,us US,2,Michigan State
1999,TOR,Mark Baker,PG,73.00,175,November 11 1969,us US,R,Ohio State
1999,TOR,Dee Brown,PG,73.00,160,November 29 1968,us US,8,Jacksonville University
1999,TOR,Negele Knight,PG,73.00,175,March 6 1967,us US,5,Dayton
2001,TOR,Mark Jackson,PG,73.00,180,April 1 1965,us US,13,St. John's
2004,TOR,Jannero Pargo,PG,73.00,175,October 22 1979,us US,1,Arkansas
2005,TOR,Omar Cook,PG,73.00,190,January 28 1982,us US,1,St. John's
2011,TOR,Sundiata Gaines,PG,73.00,185,April 18 1986,us US,1,Georgia
2021,TOR,Malachi Flynn,PG,73.00,175,May 10 1998,us US,R,Washington State San Diego State
2023,TOR,Malachi Flynn,PG,73.00,175,May 10 1998,us US,2,Washington State San Diego State
2024,TOR,Malachi Flynn,PG,73.00,175,May 10 1998,us US,3,Washington State San Diego State
2024,TOR,Kira Lewis Jr.,PG,73.00,170,April 6 2001,us US,3,Alabama
2024,TOR,Dennis Schroder,PG,73.00,172,September 15 1993,de DE,10,
1998,DAL,Shawn Respert,SG,73.00,195,6-Feb-72,us US,2,Michigan State
2004,DAL,Tony Delk,SG,73.00,189,28-Jan-74,us US,7,Kentucky
2017,DAL,Quinn Cook,PG,73.00,180,23-Mar-93,us US,R,Duke
2017,DAL,Seth Curry,PG,73.00,185,23-Aug-90,us US,3,"Liberty, Duke"
2020,DAL,Seth Curry,SG,73.00,185,23-Aug-90,us US,5,"Liberty, Duke"
1981,LAL,Eddie Jordan,PG,73.00,170,29-Jan-55,us US,3,Rutgers University
1984,LAL,Eddie Jordan,PG,73.00,170,29-Jan-55,us US,6,Rutgers University
1987,LAL,Wes Matthews,PG,73.00,170,24-Aug-59,us US,6,Wisconsin
1990,LAL,Larry Drew,PG,73.00,170,2-Apr-58,us US,8,Missouri
1991,LAL,Larry Drew,PG,73.00,170,2-Apr-58,us US,9,Missouri
1993,LAL,Duane Cooper,PG,73.00,185,25-Jun-69,us US,R,USC
1994,LAL,Nick Van Exel,PG,73.00,170,27-Nov-71,us US,R,"Trinity Valley CC, Cincinnati"
1996,LAL,Frankie King,PG,73.00,185,6-Jun-72,us US,R,Western Carolina University
1996,LAL,Nick Van Exel,PG,73.00,170,27-Nov-71,us US,2,"Trinity Valley CC, Cincinnati"
1997,LAL,Derek Fisher,PG,73.00,200,9-Aug-74,us US,R,Little Rock
1997,LAL,Nick Van Exel,PG,73.00,170,27-Nov-71,us US,3,"Trinity Valley CC, Cincinnati"
2000,LAL,Derek Fisher,PG,73.00,200,9-Aug-74,us US,3,Little Rock
2003,LAL,Derek Fisher,PG,73.00,200,9-Aug-74,us US,6,Little Rock
2003,LAL,Jannero Pargo,PG,73.00,175,22-Oct-79,us US,R,Arkansas
2009,LAL,Derek Fisher,PG,73.00,200,9-Aug-74,us US,12,Little Rock
2010,LAL,Derek Fisher,PG,73.00,200,9-Aug-74,us US,13,Little Rock
2012,LAL,Derek Fisher,PG,73.00,200,9-Aug-74,us US,15,Little Rock
2013,LAL,Chris Duhon,PG,73.00,185,31-Aug-82,us US,8,Duke
2019,LAL,Scott Machado,PG,73.00,205,8-Jun-90,us US,1,Iona College
2019,LAL,Rajon Rondo,PG,73.00,180,22-Feb-86,us US,12,Kentucky
2022,LAL,Rajon Rondo,PG,73.00,180,22-Feb-86,us US,15,Kentucky
1981,GSW,Lorenzo Romar,PG,73.00,175,13-Nov-58,us US,R,Washington
1984,GSW,Lorenzo Romar,PG,73.00,175,13-Nov-58,us US,3,Washington
1996,GSW,Bimbo Coles,PG,73.00,180,22-Apr-68,us US,5,Virginia Tech
1997,GSW,Bimbo Coles,PG,73.00,180,22-Apr-68,us US,6,Virginia Tech
2003,GSW,A.J. Guyton,PG,73.00,180,12-Feb-78,us US,2,Indiana
2006,GSW,Derek Fisher,PG,73.00,200,9-Aug-74,us US,9,Little Rock
2006,GSW,Aaron Miles,PG,73.00,175,13-Apr-83,us US,R,Kansas
2013,GSW,Scott Machado,PG,73.00,205,8-Jun-90,us US,R,Iona College
2019,GSW,Quinn Cook,PG,73.00,180,23-Mar-93,us US,2,Duke
1984,PHO,Rod Foster,PG,73.00,160,10-Oct-60,us US,R,UCLA
1990,PHO,Kevin Johnson,PG,73.00,180,4-Mar-66,us US,2,California
1991,PHO,Kevin Johnson,PG,73.00,180,4-Mar-66,us US,3,California
1991,PHO,Negele Knight,PG,73.00,175,6-Mar-67,us US,R,Dayton
1993,PHO,Frank Johnson,PG,73.00,185,23-Nov-58,us US,8,Wake Forest
1993,PHO,Kevin Johnson,PG,73.00,180,4-Mar-66,us US,5,California
1993,PHO,Negele Knight,PG,73.00,175,6-Mar-67,us US,2,Dayton
1994,PHO,Duane Cooper,PG,73.00,185,25-Jun-69,us US,1,USC
1994,PHO,Frank Johnson,PG,73.00,185,23-Nov-58,us US,9,Wake Forest
1994,PHO,Kevin Johnson,PG,73.00,180,4-Mar-66,us US,6,California
1994,PHO,Negele Knight,PG,73.00,175,6-Mar-67,us US,3,Dayton
1996,PHO,Kevin Johnson,PG,73.00,180,4-Mar-66,us US,8,California
1997,PHO,Kevin Johnson,PG,73.00,180,4-Mar-66,us US,9,California
2000,PHO,Kevin Johnson,PG,73.00,180,4-Mar-66,us US,11,California
2006,PHO,Eddie House,PG,73.00,180,14-May-78,us US,5,Arizona State
2016,PHO,Eric Bledsoe,PG,73.00,214,9-Dec-89,us US,5,Kentucky
2016,PHO,Bryce Cotton,PG,73.00,165,11-Aug-92,us US,1,Providence
2022,BOS,Payton Pritchard,PG,73.00,195,28-Jan-98,us US,1,Oregon
2022,BOS,Dennis Schroder,PG,73.00,172,15-Sep-93,de DE,8,
1981,IND,Jerry Sichting,PG,73.00,168,29-Nov-56,us US,R,Purdue
1984,IND,Jerry Sichting,PG,73.00,168,29-Nov-56,us US,3,Purdue
1985,IND,Jerry Sichting,PG,73.00,168,29-Nov-56,us US,4,Purdue
1988,IND,Scott Skiles,PG,73.00,180,5-Mar-64,us US,1,Michigan State
1988,IND,Clinton Wheeler,PG,73.00,185,27-Oct-59,us US,R,William Paterson University
1991,IND,Byron Dinkins,PG,73.00,170,15-Jun-67,us US,1,UNC Charlotte
1994,IND,Pooh Richardson,PG,73.00,180,14-May-66,us US,4,UCLA
1997,IND,Mark Jackson,PG,73.00,180,1-Apr-65,us US,9,St. John's
2000,IND,Mark Jackson,PG,73.00,180,1-Apr-65,us US,12,St. John's
2004,IND,Kenny Anderson,PG,73.00,168,9-Oct-70,us US,12,Georgia Tech
2009,IND,Travis Diener,PG,73.00,175,1-Mar-82,us US,3,Marquette
2010,IND,Travis Diener,PG,73.00,175,1-Mar-82,us US,4,Marquette
2010,IND,Earl Watson,PG,73.00,195,12-Jun-79,us US,8,UCLA
2020,IND,T.J. McConnell,PG,73.00,190,25-Mar-92,us US,4,"Duquesne, Arizona"
2022,IND,T.J. McConnell,PG,73.00,190,25-Mar-92,us US,6,"Duquesne, Arizona"
2023,IND,T.J. McConnell,PG,73.00,190,25-Mar-92,us US,7,"Duquesne, Arizona"
1981,SDC,Henry Bibby,PG,73.00,185,24-Nov-49,us US,8,UCLA
1981,HOU,Allen Leavell,PG,73.00,170,27-May-57,us US,1,Oklahoma City University
1982,HOU,Allen Leavell,PG,73.00,170,27-May-57,us US,2,Oklahoma City University
1984,HOU,Allen Leavell,PG,73.00,170,27-May-57,us US,4,Oklahoma City University
1985,HOU,Allen Leavell,PG,73.00,170,27-May-57,us US,5,Oklahoma City University
1987,HOU,Allen Leavell,PG,73.00,170,27-May-57,us US,7,Oklahoma City University
1988,HOU,Allen Leavell,SG,73.00,170,27-May-57,us US,8,Oklahoma City University
1990,HOU,Byron Dinkins,PG,73.00,170,15-Jun-67,us US,R,UNC Charlotte
1997,HOU,Brent Price,PG,73.00,165,9-Dec-68,us US,3,"South Carolina, Oklahoma"
2000,HOU,Moochie Norris,PG,73.00,175,27-Jul-73,us US,2,"Auburn, University of West Florida"
2001,HOU,Moochie Norris,PG,73.00,175,27-Jul-73,us US,3,"Auburn, University of West Florida"
2003,HOU,Moochie Norris,PG,73.00,175,27-Jul-73,us US,5,"Auburn, University of West Florida"
2004,HOU,Mark Jackson,PG,73.00,180,1-Apr-65,us US,16,St. John's
2004,HOU,Moochie Norris,PG,73.00,175,27-Jul-73,us US,6,"Auburn, University of West Florida"
2006,HOU,Moochie Norris,PG,73.00,175,27-Jul-73,us US,8,"Auburn, University of West Florida"
2013,HOU,Scott Machado,PG,73.00,205,8-Jun-90,us US,R,Iona College
2022,HOU,Dennis Schroder,PG,73.00,172,15-Sep-93,de DE,8,
1981,NJN,Eddie Jordan,PG,73.00,170,29-Jan-55,us US,3,Rutgers University
1981,NJN,Lowes Moore,PG,73.00,170,5-May-57,us US,R,West Virginia
1984,NJN,Mark Jones,PG,73.00,175,10-Apr-61,us US,R,St. Bonaventure
1984,NJN,Kelvin Ransey,PG,73.00,170,3-May-58,us US,3,Ohio State
1985,NJN,Kelvin Ransey,PG,73.00,170,3-May-58,us US,4,Ohio State
1988,NJN,Johnny Moore,PG,73.00,175,3-Mar-58,us US,7,Texas
1994,NJN,Kenny Anderson,PG,73.00,168,9-Oct-70,us US,2,Georgia Tech
2004,NJN,Anthony Goldwire,PG,73.00,182,6-Sep-71,us US,5,Houston
2006,NJN,Jacque Vaughn,SG,73.00,190,11-Feb-75,us US,8,Kansas
2007,NJN,Eddie House,SG,73.00,180,14-May-78,us US,6,Arizona State
1981,SAS,Johnny Moore,PG,73.00,175,3-Mar-58,us US,R,Texas
1981,SAS,James Silas,PG,73.00,180,11-Feb-49,us US,8,Stephen F. Austin
1982,SAS,Johnny Moore,PG,73.00,175,3-Mar-58,us US,1,Texas
1984,SAS,Johnny Moore,PG,73.00,175,3-Mar-58,us US,3,Texas
1985,SAS,Johnny Moore,PG,73.00,175,3-Mar-58,us US,4,Texas
1987,SAS,Johnny Moore,PG,73.00,175,3-Mar-58,us US,6,Texas
1988,SAS,Johnny Moore,PG,73.00,175,3-Mar-58,us US,7,Texas
1991,SAS,Byron Dinkins,PG,73.00,170,15-Jun-67,us US,1,UNC Charlotte
1994,SAS,Negele Knight,PG,73.00,175,6-Mar-67,us US,3,Dayton
1997,SAS,Cory Alexander,PG,73.00,185,22-Jun-73,us US,1,Virginia
2003,SAS,Anthony Goldwire,PG,73.00,182,6-Sep-71,us US,4,Houston
2004,SAS,Anthony Carter,PG,73.00,190,16-Jun-75,us US,4,Hawaii
2006,SAS,Nick Van Exel,PG,73.00,170,27-Nov-71,us US,12,"Trinity Valley CC, Cincinnati"
2007,SAS,Jacque Vaughn,PG,73.00,190,11-Feb-75,us US,9,Kansas
2022,SAS,Tre Jones,PG,73.00,185,8-Jan-00,us US,1,Duke
2023,SAS,Devonte' Graham,PG,73.00,195,22-Feb-95,us US,4,Kansas
2023,SAS,Tre Jones,PG,73.00,185,8-Jan-00,us US,2,Duke
1981,POR,Kelvin Ransey,PG,73.00,170,3-May-58,us US,R,Ohio State
1982,POR,Kelvin Ransey,PG,73.00,170,3-May-58,us US,1,Ohio State
1982,POR,Darnell Valentine,PG,73.00,183,3-Feb-59,us US,R,Kansas
1984,POR,Eddie Jordan,PG,73.00,170,29-Jan-55,us US,6,Rutgers University
1984,POR,Darnell Valentine,PG,73.00,183,3-Feb-59,us US,2,Kansas
1985,POR,Darnell Valentine,PG,73.00,183,3-Feb-59,us US,3,Kansas
1988,POR,Jerry Sichting,PG,73.00,168,29-Nov-56,us US,7,Purdue
1997,POR,Kenny Anderson,PG,73.00,168,9-Oct-70,us US,5,Georgia Tech
1998,POR,Kenny Anderson,PG,73.00,168,9-Oct-70,us US,6,Georgia Tech
1998,POR,John Crotty,PG,73.00,185,15-Jul-69,us US,5,Virginia
2001,POR,Erick Barkley,PG,73.00,177,21-Feb-78,us US,R,St. John's
2004,POR,Omar Cook,PG,73.00,190,28-Jan-82,us US,R,St. John's
2010,POR,Travis Diener,PG,73.00,175,1-Mar-82,us US,4,Marquette
2014,POR,Earl Watson,PG,73.00,195,12-Jun-79,us US,12,UCLA
2014,POR,Mo Williams,PG,73.00,198,19-Dec-82,us US,10,Alabama
2016,POR,Brian Roberts,PG,73.00,173,3-Dec-85,us US,3,Dayton
2019,POR,Seth Curry,SG,73.00,185,23-Aug-90,us US,4,"Liberty, Duke"
1981,MIL,Mike Evans,PG,73.00,170,19-Apr-55,us US,1,Kansas State
1982,MIL,Mike Evans,PG,73.00,170,19-Apr-55,us US,2,Kansas State
1984,MIL,Tiny Archibald,PG,73.00,150,2-Sep-48,us US,12,Texas-El Paso
